"","year","a_council","N","Internationale_Politik","Sicherheitspolitik","Europapolitik","Wirtschaft","Beschäftigung_Arbeit","Landwirtschaft","Finanzwesen","Steuer","Soziale_Fragen","Migration","Sozialer_Schutz","Gesundheit","Raumplanung_Wohnungswesen","Kultur","Bildung","Wissenschaft_Forschung","Medien_Kommunikation","Verkehr","Umwelt","Energie","Staatspolitik","Parlament","Recht_allgemein","Zivilrecht","Strafrecht","Gerichtswesen","Internationales_Recht","Menschenrechte"
"58","2009","Bundesrat",79,10.126582278481,10.126582278481,13.9240506329114,15.1898734177215,NA,2.53164556962025,22.7848101265823,NA,6.32911392405063,5.06329113924051,NA,5.06329113924051,0,1.26582278481013,3.79746835443038,1.26582278481013,2.53164556962025,5.06329113924051,1.26582278481013,1.26582278481013,6.32911392405063,1.26582278481013,8.86075949367089,NA,NA,NA,NA,NA
"59","2009","Volksinitiative",7,0,28.5714285714286,0,0,NA,0,14.2857142857143,NA,0,14.2857142857143,NA,0,14.2857142857143,14.2857142857143,14.2857142857143,0,0,0,14.2857142857143,0,0,0,0,NA,NA,NA,NA,NA
"60","2010","Nationalrat",1873,6.56700480512547,6.67378537106247,3.15002669514148,10.8916177255739,NA,6.30005339028297,10.5178857447944,NA,10.3043246129204,6.78056593699947,NA,11.4789108382274,1.33475707421249,2.34917245061399,3.52375867592098,1.44153764014949,6.94073678590497,9.12973838761345,6.30005339028297,6.51361452215697,7.58142018152696,1.92205018686599,8.11532301121196,NA,NA,NA,NA,NA
"61","2010","Ständerat",184,3.80434782608696,7.06521739130435,3.26086956521739,7.60869565217391,NA,5.97826086956522,17.9347826086957,NA,7.60869565217391,1.08695652173913,NA,12.5,2.17391304347826,1.6304347826087,2.71739130434783,3.26086956521739,7.60869565217391,10.8695652173913,5.97826086956522,5.97826086956522,10.8695652173913,6.52173913043478,8.69565217391304,NA,NA,NA,NA,NA
"62","2010","Bundesrat",100,12,9,6,7,NA,2,37,NA,4,3,NA,2,2,0,1,2,2,7,3,1,3,1,8,NA,NA,NA,NA,NA
"63","2010","Volksinitiative",6,16.6666666666667,0,0,16.6666666666667,NA,0,16.6666666666667,NA,16.6666666666667,0,NA,0,33.3333333333333,0,0,0,0,16.6666666666667,16.6666666666667,0,16.6666666666667,0,0,NA,NA,NA,NA,NA
"64","2011","Nationalrat",1792,8.09151785714286,5.41294642857143,4.07366071428571,12.3883928571429,NA,4.96651785714286,13.3928571428571,NA,7.92410714285714,8.70535714285714,NA,10.2120535714286,2.56696428571429,1.28348214285714,2.67857142857143,1.00446428571429,3.90625,7.19866071428571,4.6875,13.9508928571429,6.97544642857143,1.45089285714286,6.02678571428571,NA,NA,NA,NA,NA
"65","2011","Ständerat",179,2.79329608938547,5.58659217877095,1.67597765363128,12.2905027932961,NA,3.35195530726257,12.2905027932961,NA,9.49720670391062,3.91061452513966,NA,8.93854748603352,2.23463687150838,2.79329608938547,5.58659217877095,5.58659217877095,4.46927374301676,10.6145251396648,3.91061452513966,19.5530726256983,7.26256983240223,4.46927374301676,5.02793296089385,NA,NA,NA,NA,NA
"66","2011","Bundesrat",61,6.55737704918033,6.55737704918033,0,8.19672131147541,NA,1.63934426229508,40.9836065573771,NA,4.91803278688525,1.63934426229508,NA,1.63934426229508,0,1.63934426229508,1.63934426229508,1.63934426229508,1.63934426229508,1.63934426229508,4.91803278688525,1.63934426229508,6.55737704918033,3.27868852459016,14.7540983606557,NA,NA,NA,NA,NA
"67","2011","Volksinitiative",3,0,0,0,0,NA,0,0,NA,0,0,NA,66.6666666666667,0,0,0,0,33.3333333333333,0,0,0,0,0,0,NA,NA,NA,NA,NA
